A partir de;Valor em reais;Legisla��o;Total reajustado (%)
julho de 1994;R$ 64,79;Lei 8.880/1994;�
setembro de 1994;R$ 70,00;MP 598/1994;8,04%
maio de 1995;R$ 100,00;Lei 9.032/1995;42,86%
maio de 1996;R$ 112,00;Lei 9.971/2000;12,00%
maio de 1997;R$ 120,00;Lei 9.971/2000;7,14%
maio de 1998;R$ 130,00;Lei 9.971/2000;8,33%
maio de 1999;R$ 136,00;Lei 9.971/2000;4,62%
junho de 2000;R$ 151,00;Lei 9.971/2000;11,03%
junho de 2001;R$ 180,00;MP 2.194-6/2001;19,21%
junho de 2002;R$ 200,00;Lei 10.525/2002;11,11%
junho de 2003;R$ 240,00;Lei 10.699/2003;20,00%
maio de 2004;R$ 260,00;Lei 10.888/2004;8,33%
maio de 2005;R$ 300,00;Lei 11.164/2005;15,38%
abril de 2006;R$ 350,00;Lei 11.321/2006;16,67%
abril de 2007;R$ 380,00;Lei 11.498/2007;8,57%
março de 2008;R$ 415,00;Lei 11.709/2008;9,21%
fevereiro de 2009;R$ 465,00;Lei 11.944/2009;12,05%
janeiro de 2010;R$ 510,00;Lei 12.255/2010;9,68%
janeiro de 2011;R$ 540,00;MP 516/2010;5,88%
março de 2011;R$ 545,00;Lei 12.382/2011;0,93%
janeiro de 2012;R$ 622,00;Decreto 7.655/2011;14,13%
janeiro de 2013;R$ 678,00;Decreto 7.872/2012;9,00%
janeiro de 2014;R$ 724,00;Decreto 8.166/2013;6,78%
janeiro de 2015;R$ 788,00;Decreto 8.381/2014;8,84%
janeiro de 2016;R$ 880,00;Decreto 8.618/2015;11,68%
janeiro de 2017;R$ 937,00;Lei 13.152/2015;6,48%
janeiro de 2018;R$ 954,00;Decreto 9.255/2017;1,81%
janeiro de 2019;R$ 998,00;Decreto 9.661/2019;4,61%
janeiro de 2020;R$ 1.039,00;MP 916/2019;4,10%
fevereiro de 2020;R$ 1.045,00;MP 919/2020;0,58%
janeiro de 2021;R$ 1.100,00;MP 1021/2020;5,26%
janeiro de 2022;R$ 1.212,00;MP 1091/2021;10,16%
janeiro de 2023;R$ 1.302,00;MP 1.143/2022;7,43%
maio de 2023;R$ 1.320,00;MP 1.172/2023;8,90% (rel. 2022)
janeiro de 2024;R$ 1.412,00;Decreto 11.864/2024;6,97%
janeiro de 2025;R$ 1.518,00;Decreto 12.342/2024;7,95%
